Composition:
1.00 NZ_JROE01000018.1 Sphingobacteriaceae bacterium DW12 contig23_scaffold15, whole genome shotgun sequence
1.00 NZ_JROE01000021.1 Sphingobacteriaceae bacterium DW12 contig28_scaffold18, whole genome shotgun sequence
1.00 NZ_JROE01000020.1 Sphingobacteriaceae bacterium DW12 contig27_scaffold17, whole genome shotgun sequence
1.00 NZ_AOHU01000098.1 Haloferax volcanii DS2 contig_98, whole genome shotgun sequence
1.00 NZ_LSFP01000007.1 Zymomonas mobilis strain ATCC 31823 Scaffold5_1, whole genome shotgun sequence
1.00 NZ_AOHU01000018.1 Haloferax volcanii DS2 contig_18, whole genome shotgun sequence
1.00 NZ_CP015084.1 Deinococcus radiodurans R1 plasmid CP1, complete sequence
1.00 LGEQ01000031.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_122, whole genome shotgun sequence
1.00 NZ_AXUR01000040.1 Fusobacterium nucleatum W1481 Contig40, whole genome shotgun sequence
1.00 NC_001733.1 Methanocaldococcus jannaschii DSM 2661 plasmid pDSM2661_2, complete sequence
1.00 NZ_AXUR01000015.1 Fusobacterium nucleatum W1481 Contig15, whole genome shotgun sequence
1.00 LGEQ01000022.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_79, whole genome shotgun sequence
1.00 NZ_AXUR01000067.1 Fusobacterium nucleatum W1481 Contig67, whole genome shotgun sequence
1.00 NZ_AXUR01000024.1 Fusobacterium nucleatum W1481 Contig24, whole genome shotgun sequence
1.00 LGEQ01000035.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_133, whole genome shotgun sequence
1.00 NZ_AXUR01000047.1 Fusobacterium nucleatum W1481 Contig47, whole genome shotgun sequence
1.00 NZ_DS996356.1 Desulfovibrio piger ATCC 29098 Scfld5 genomic scaffold, whole genome shotgun sequence
1.00 NZ_AXUR01000022.1 Fusobacterium nucleatum W1481 Contig22, whole genome shotgun sequence
1.00 NZ_AXUR01000025.1 Fusobacterium nucleatum W1481 Contig25, whole genome shotgun sequence
1.00 NZ_AXUR01000048.1 Fusobacterium nucleatum W1481 Contig48, whole genome shotgun sequence
1.00 NZ_JGWW01000065.1 Bordetella bronchiseptica E010 ctg7180000004868, whole genome shotgun sequence
1.00 LGEQ01000004.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_13, whole genome shotgun sequence
1.00 NZ_JGWW01000190.1 Bordetella bronchiseptica E010 ctg7180000004855, whole genome shotgun sequence
1.00 NZ_JGWW01000178.1 Bordetella bronchiseptica E010 ctg00003, whole genome shotgun sequence
1.00 NZ_JGWW01000030.1 Bordetella bronchiseptica E010 ctg7180000004829, whole genome shotgun sequence
1.00 NZ_JGWW01000147.1 Bordetella bronchiseptica E010 ctg7180000004867, whole genome shotgun sequence
1.00 NZ_JGWW01000073.1 Bordetella bronchiseptica E010 ctg7180000004854, whole genome shotgun sequence
1.00 NZ_AOHU01000100.1 Haloferax volcanii DS2 contig_100, whole genome shotgun sequence
1.00 NZ_AOHU01000022.1 Haloferax volcanii DS2 contig_22, whole genome shotgun sequence
1.00 NZ_AOHU01000087.1 Haloferax volcanii DS2 contig_87, whole genome shotgun sequence
1.00 NZ_AOHU01000028.1 Haloferax volcanii DS2 contig_28, whole genome shotgun sequence
1.00 NZ_AUKT01000037.1 Salinispora arenicola CNS243 H302DRAFT_scaffold00027.27_C, whole genome shotgun sequence
1.00 NZ_AXUR01000051.1 Fusobacterium nucleatum W1481 Contig51, whole genome shotgun sequence
1.00 NZ_AXUR01000005.1 Fusobacterium nucleatum W1481 Contig5, whole genome shotgun sequence
1.00 LGEQ01000016.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_56, whole genome shotgun sequence
1.00 LGEQ01000006.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_31, whole genome shotgun sequence
1.00 NZ_AXUR01000002.1 Fusobacterium nucleatum W1481 Contig2, whole genome shotgun sequence
1.00 NZ_JGWW01000167.1 Bordetella bronchiseptica E010 ctg7180000004866, whole genome shotgun sequence
1.00 NZ_DS996358.1 Desulfovibrio piger ATCC 29098 Scfld7 genomic scaffold, whole genome shotgun sequence
1.00 NZ_JGWW01000024.1 Bordetella bronchiseptica E010 ctg7180000004871, whole genome shotgun sequence
1.00 NC_003273.1 Nostoc sp. PCC 7120 plasmid pCC7120delta DNA, complete sequence
1.00 NZ_JGWW01000100.1 Bordetella bronchiseptica E010 ctg7180000004822, whole genome shotgun sequence
1.00 NZ_JGWW01000057.1 Bordetella bronchiseptica E010 ctg7180000004893, whole genome shotgun sequence
1.00 NZ_AOHU01000106.1 Haloferax volcanii DS2 contig_106, whole genome shotgun sequence
1.00 NZ_AOHU01000096.1 Haloferax volcanii DS2 contig_96, whole genome shotgun sequence
1.00 NZ_AOHU01000045.1 Haloferax volcanii DS2 contig_45, whole genome shotgun sequence
1.00 NZ_AOHU01000031.1 Haloferax volcanii DS2 contig_31, whole genome shotgun sequence
1.00 NZ_JROE01000014.1 Sphingobacteriaceae bacterium DW12 contig19_scaffold13, whole genome shotgun sequence
1.00 NZ_KE136406.1 Enterococcus faecalis V583 genomic scaffold acpMF-supercont1.5, whole genome shotgun sequence
1.00 NZ_AUKT01000032.1 Salinispora arenicola CNS243 H302DRAFT_scaffold00022.22_C, whole genome shotgun sequence
1.00 NZ_AUKT01000034.1 Salinispora arenicola CNS243 H302DRAFT_scaffold00024.24_C, whole genome shotgun sequence
1.00 NZ_AXUR01000004.1 Fusobacterium nucleatum W1481 Contig4, whole genome shotgun sequence
1.00 NZ_AXUR01000026.1 Fusobacterium nucleatum W1481 Contig26, whole genome shotgun sequence
1.00 LGEQ01000014.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_49, whole genome shotgun sequence
1.00 NZ_CH959315.1 Sulfitobacter sp. NAS-14.1 scf_1099451320470 genomic scaffold, whole genome shotgun sequence
1.00 LGEQ01000005.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_15, whole genome shotgun sequence
1.00 NZ_JGWW01000164.1 Bordetella bronchiseptica E010 ctg7180000004853, whole genome shotgun sequence
1.00 NZ_JGWW01000133.1 Bordetella bronchiseptica E010 ctg7180000004898, whole genome shotgun sequence
1.00 NZ_JGWW01000032.1 Bordetella bronchiseptica E010 ctg7180000004785, whole genome shotgun sequence
1.00 NZ_AOHU01000036.1 Haloferax volcanii DS2 contig_36, whole genome shotgun sequence
1.00 NZ_JGWW01000042.1 Bordetella bronchiseptica E010 ctg7180000004824, whole genome shotgun sequence
1.00 NZ_JGWW01000123.1 Bordetella bronchiseptica E010 ctg7180000004856, whole genome shotgun sequence
1.00 NZ_JGWW01000048.1 Bordetella bronchiseptica E010 ctg7180000004888, whole genome shotgun sequence
1.00 NZ_JGWW01000179.1 Bordetella bronchiseptica E010 ctg7180000004908, whole genome shotgun sequence
1.00 NZ_JROE01000003.1 Sphingobacteriaceae bacterium DW12 contig3_scaffold1, whole genome shotgun sequence
1.00 NZ_AOHU01000041.1 Haloferax volcanii DS2 contig_41, whole genome shotgun sequence
1.00 NZ_AOHU01000092.1 Haloferax volcanii DS2 contig_92, whole genome shotgun sequence
1.00 LGEQ01000010.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_43, whole genome shotgun sequence
1.00 NC_001732.1 Methanocaldococcus jannaschii DSM 2661 plasmid pDSM2661_1, complete sequence
1.00 LGEQ01000003.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_8, whole genome shotgun sequence
1.00 NC_003267.1 Nostoc sp. PCC 7120 plasmid pCC7120gamma DNA, complete sequence
1.00 NZ_JGWW01000150.1 Bordetella bronchiseptica E010 ctg7180000004823, whole genome shotgun sequence
1.00 NZ_JGWW01000189.1 Bordetella bronchiseptica E010 ctg7180000004887, whole genome shotgun sequence
1.00 NZ_JGWW01000121.1 Bordetella bronchiseptica E010 ctg7180000004899, whole genome shotgun sequence
1.00 NZ_JGWW01000168.1 Bordetella bronchiseptica E010 ctg7180000004881, whole genome shotgun sequence
1.00 NZ_JGWW01000176.1 Bordetella bronchiseptica E010 ctg7180000004910, whole genome shotgun sequence
1.00 NZ_JGWW01000006.1 Bordetella bronchiseptica E010 ctg7180000004825, whole genome shotgun sequence
1.00 NZ_JGWW01000158.1 Bordetella bronchiseptica E010 ctg7180000004798, whole genome shotgun sequence
1.00 NZ_AOHU01000052.1 Haloferax volcanii DS2 contig_52, whole genome shotgun sequence
1.00 NZ_AOHU01000019.1 Haloferax volcanii DS2 contig_19, whole genome shotgun sequence
